股票,行业,alpha,alpha_pval,beta,beta_ci_low,beta_ci_high,r2
招商银行,银行,8.585283292605028e-05,0.8485241232804814,-0.028183555605304576,-0.08441578621526821,0.02804867500465906,0.0006388271780894961
交通银行,银行,0.00028388130340082653,0.3019952181617006,-0.03084202020822608,-0.06524391949428598,0.0035598790778338177,0.00204114285841428
比亚迪,汽车,0.0011168370049359035,0.11177946720691714,-0.02502819207597703,-0.11285252753139802,0.06279614337944395,0.0002066233695078301
上汽集团,汽车,-0.00031485670287000896,0.5403260308674149,0.01363691654607538,-0.05068788731241289,0.07796172040456364,0.00011435778283885867
万科A,房地产,-0.0013780450979449142,0.01957090313282522,-0.02099763379228565,-0.09478019315967925,0.052784925575107965,0.00020605528347306112
保利发展,房地产,-0.0006294121329305364,0.28288874115386964,-0.003274961190778236,-0.07658754558256553,0.07003762320100906,5.078003803338227e-06
贵州茅台,白酒,0.00013674175140150155,0.7605203113649195,-0.05323482179090319,-0.10935949950119025,0.0028898559193838783,0.0022841820624306397
五粮液,白酒,-0.0001711406625291327,0.7597791015837795,-0.052169973137717096,-0.12218984387544773,0.017849897600013542,0.0014106702523677406
隆基绿能,能源,8.466763984360942e-05,0.9069949775276962,-0.0016988703359272859,-0.09236268852103184,0.08896494784917726,8.934948201311244e-07
中国石化,能源,0.00026981025694324884,0.47600808226057434,0.010675512008018622,-0.03667919663012004,0.05803022064615729,0.00012931082921985304
